State,State Code,Insurance Company
Arizona,AZ,group health benefits
Arizona,AZ,Group Health Eau Claire
Arizona,AZ,Harbor Health Plan
Arizona,AZ,Harvard Pilgrim
Arizona,AZ,Health Care Partners
Arizona,AZ,health eos
Arizona,AZ,Health EZ
Arizona,AZ,Health Management Network
Arizona,AZ,Health Net
Arizona,AZ,Health New England
Arizona,AZ,Health Options
Arizona,AZ,Health Partners
Arizona,AZ,Health Payment Systems
Arizona,AZ,Health Plan Services
Arizona,AZ,Health Plans Inc
Arizona,AZ,Health Scope
Arizona,AZ,Health Smart
Arizona,AZ,Healthcare Management Administration
Arizona,AZ,HealthComp
Arizona,AZ,Healthcomp TPA
Arizona,AZ,Healthgram
Arizona,AZ,HealthLink
Arizona,AZ,HealthSmart
Arizona,AZ,"HealthSmart Preferred Care II, LP"
Arizona,AZ,HFN
Arizona,AZ,highlands
Arizona,AZ,Highmark BlueCross BlueShield
Arizona,AZ,HMA
Arizona,AZ,Homelink
Arizona,AZ,Hudson Health Plan
Arizona,AZ,Humana
Arizona,AZ,Imagine 362
Arizona,AZ,"immergrun, inc."
Arizona,AZ,"Imperial Insurance Companies, Inc."
Arizona,AZ,Independence BCBS
Arizona,AZ,Independent Health
Arizona,AZ,Independent Medical Systems
Arizona,AZ,indequest
Arizona,AZ,Insurance Management Services
Arizona,AZ,Integra
Arizona,AZ,Integrated Home Care Services - IHCS
Arizona,AZ,INTotal Health
Arizona,AZ,IPMG
Arizona,AZ,J.P. Farley Corporation
Arizona,AZ,Key Benefit Administrators
Arizona,AZ,Keystone First
Arizona,AZ,lakes area community healthplan
Arizona,AZ,Lasso Healthcare
Arizona,AZ,Lucent Health
Arizona,AZ,Magellan
Arizona,AZ,Magnacare
Arizona,AZ,Mail Handlers
Arizona,AZ,"Managed Care, Inc dba Galaxy Health Network"
Arizona,AZ,Martin's Point
Arizona,AZ,maxor provider network
Arizona,AZ,Mayo Clinic Health Solutions
Arizona,AZ,McLaren Health Plans
Arizona,AZ,mcm maxcare ppo
Arizona,AZ,Medcorp Southwest Inc
Arizona,AZ,MedCost
Arizona,AZ,Medi-Share
Arizona,AZ,Medica
Arizona,AZ,Medicaid
Arizona,AZ,Medicaid of Arizona
Arizona,AZ,"Medical Cost Containment Professionals, LLC (MCCP)"
Arizona,AZ,medical resource
Arizona,AZ,Medicare
Arizona,AZ,Mercy Care Department of Child Safety Comprehensive Health Plan (fka Comprehensive Medical & Dental Program)
Arizona,AZ,Mercy Care Plan - Medicaid
Arizona,AZ,Mercy Care Plan of Arizona
Arizona,AZ,Meridian Health Plan
Arizona,AZ,Meritain Health
Arizona,AZ,Methodist First Choice
Arizona,AZ,MetroPlus
Arizona,AZ,Midlands Choice
Arizona,AZ,Midwest Health
Arizona,AZ,MissionPoint
Arizona,AZ,Moda Health
Arizona,AZ,Molina
Arizona,AZ,Mountain Health CO-OP
Arizona,AZ,Multiplan-PHCS
Arizona,AZ,Mutual Assurance Administrators
Arizona,AZ,National Association of Letter Carriers
Arizona,AZ,National Elevator Industry Health Benefits
Arizona,AZ,NYSHIP
Arizona,AZ,Ohio Medicaid Pharmacy Provider
Arizona,AZ,One Homecare Solutions
Arizona,AZ,Onecall
Arizona,AZ,Optum
Arizona,AZ,Oscar
Arizona,AZ,Oscar AZ-Commercial
Arizona,AZ,Other
Arizona,AZ,OWCA
Arizona,AZ,Oxford Health Plans
Arizona,AZ,P3 Health Partners Arizona
Arizona,AZ,Pacific Source Health Plans
Arizona,AZ,Paradigm
Arizona,AZ,Performance Health
Arizona,AZ,Piedmont Healthcare
Arizona,AZ,Pinnacle Assurance
Arizona,AZ,Porter County Government Employee Benefits
Arizona,AZ,PPO Plus
Arizona,AZ,Prairie States
Arizona,AZ,Preferred Health Professionals
Arizona,AZ,Preferred Medical Network
Arizona,AZ,Preferred One
Arizona,AZ,Presbyterian Health Plan 
Arizona,AZ,Priority Health
Arizona,AZ,PROVIDENCE HEALTH
Arizona,AZ,Provider Network of America
Arizona,AZ,QualChoice
Arizona,AZ,Quartz
Arizona,AZ,Reserve National Insurance Company
Arizona,AZ,ResourceOne Administrators
Arizona,AZ,S & S Health
Arizona,AZ,Samaritan
Arizona,AZ,Sana Benefits
Arizona,AZ,Sanford Health Plan
Arizona,AZ,Scott & White Health Plan
Arizona,AZ,Sedgwick
Arizona,AZ,Select Administrative Services
Arizona,AZ,Self Insured Services Company
Arizona,AZ,Sentara Health Plans
Arizona,AZ,Sentry Insurance
Arizona,AZ,SIHO
Arizona,AZ,SIX DEGREES HEALTH
Arizona,AZ,SmartHealth
Arizona,AZ,SMS National
Arizona,AZ,Sound Health and Wellness
Arizona,AZ,South Central Preferred
Arizona,AZ,Southwest Service Administrators
Arizona,AZ,Starmark
Arizona,AZ,Steward Health Choice - Medicaid
Arizona,AZ,The American Worker
Arizona,AZ,The American Worker (f.k.a Century Healthcare)
Arizona,AZ,The Empire Plan
Arizona,AZ,The Health Plan
Arizona,AZ,Tricare
Arizona,AZ,Tricare Overseas
Arizona,AZ,Tricare West
Arizona,AZ,Trilogy
Arizona,AZ,TRPN
Arizona,AZ,Trustmark
Arizona,AZ,Tufts Health Plan
Arizona,AZ,Ucare
Arizona,AZ,UHC ALL SAVERS
Arizona,AZ,UHC SHARED SERVICES
Arizona,AZ,UHC STUDENT RESOURCES
Arizona,AZ,UHC SUREST
Arizona,AZ,UHIS
Arizona,AZ,UMR
Arizona,AZ,UMWA Health & Retirement Funds
Arizona,AZ,Unicare
Arizona,AZ,United
Arizona,AZ,United Healthcare
Arizona,AZ,United Healthcare  Commercial and Medicare
Arizona,AZ,United Healthcare All Savers
Arizona,AZ,United Healthcare Medicaid
Arizona,AZ,United Healthcare Shared Services
Arizona,AZ,United Healthcare StudentResources
Arizona,AZ,United Student Resources
Arizona,AZ,UPMC
Arizona,AZ,US Family Health Plan
Arizona,AZ,USA MANAGED CARE ORGANIZATIONS
Arizona,AZ,Valenz
Arizona,AZ,Valenz f.k.a United Claim Solutions (PPO Network)
Arizona,AZ,WebTPA
Arizona,AZ,Wellcare
Arizona,AZ,WellFirst Health
Arizona,AZ,WellMed
Arizona,AZ,Western Growers Assurance Trust
Arizona,AZ,World Trade Center
Arizona,AZ,Zelis
Arizona,AZ,ZENITH ADMIN
California,CA,A&S Financial
California,CA,ABA
California,CA,Access Health Direct
California,CA,Access Health Services - TPA
California,CA,Access Medical Group
California,CA,ACCOUNTABLE IPA
California,CA,ACCOUNTBLE HLTH
California,CA,ADMIN SOLUTIONS
California,CA,ADVANTEK
